date,headline,summary,sector,sentiment,emotion,price_change,trading_volume_crore
2024-04-04,Automobile sector performance mixed following rising raw material costs.,Mahindra in the Automobile sector has seen a rise of 1.6% due to inflation concerns. Market sentiment is Positive with Caution prevailing.,Automobile,Positive,Caution,1.6,6.06
2025-04-19,"GAIL reports strong quarterly earnings, boosting Energy sector.",GAIL in the Energy sector has seen a rise of 0.67% due to rising raw material costs. Market sentiment is Neutral with Confidence prevailing.,Energy,Neutral,Confidence,0.67,452.7
2024-07-29,"Global trends influence Banking sector, stocks fall.",Kotak Mahindra in the Banking sector has seen a fall of -3.39% due to supply chain disruptions. Market sentiment is Negative with Caution prevailing.,Banking,Negative,Caution,-3.39,284.38
2024-05-18,Market sentiment shifts on consumer demand recovery affecting Telecom.,Bharti Airtel in the Telecom sector has seen a rise of 0.79% due to better-than-expected quarterly results. Market sentiment is Positive with Uncertainty prevailing.,Telecom,Positive,Uncertainty,0.79,694.81
2024-03-17,Investors optimistic as FMCG sector fall on currency fluctuations.,Nestle India in the FMCG sector has seen a fall of -6.34% due to currency fluctuations. Market sentiment is Negative with Confidence prevailing.,FMCG,Negative,Confidence,-6.34,470.49
2024-03-01,"Godrej Consumer faces challenges amid sector-specific regulations, shares rise.",Godrej Consumer in the FMCG sector has seen a rise of 2.3% due to sector-specific regulations. Market sentiment is Positive with Confidence prevailing.,FMCG,Positive,Confidence,2.3,547.62
2025-01-13,"Ashoka Buildcon eyes expansion, Infrastructure stocks rise.",Ashoka Buildcon in the Infrastructure sector has seen a rise of 6.12% due to consumer demand recovery. Market sentiment is Positive with Caution prevailing.,Infrastructure,Positive,Caution,6.12,849.29
2024-12-18,Godrej Properties stock fall after strategic partnership.,Godrej Properties in the Real Estate sector has seen a fall of -0.73% due to consumer demand recovery. Market sentiment is Neutral with Uncertainty prevailing.,Real Estate,Neutral,Uncertainty,-0.73,844.53
2025-02-21,Real Estate sector rallies on regulatory changes.,Brigade Enterprises in the Real Estate sector has seen a rise of 1.86% due to regulatory changes. Market sentiment is Positive with Uncertainty prevailing.,Real Estate,Positive,Uncertainty,1.86,931.58
2024-05-31,Earnings beat lifts Sobha and Real Estate sector.,Sobha in the Real Estate sector has seen a fall of -3.53% due to rising crude oil prices. Market sentiment is Negative with Fear prevailing.,Real Estate,Negative,Fear,-3.53,935.06
2025-04-19,"Coforge announces earnings guidance update, impacting Technology stocks.",Coforge in the Technology sector has seen a rise of 4.21% due to rising raw material costs. Market sentiment is Positive with Fear prevailing.,Technology,Positive,Fear,4.21,989.39
2024-03-31,"Reliance reports negative outlook, boosting Energy sector.",Reliance in the Energy sector has seen a rise of 2.28% due to rising crude oil prices. Market sentiment is Mixed with Uncertainty prevailing.,Energy,Mixed,Uncertainty,2.28,55.42
2025-05-18,"Regulatory changes impact Pharma sector, stocks rise.",Divi's Labs in the Pharma sector has seen a rise of 1.42% due to geopolitical tensions. Market sentiment is Positive with Optimism prevailing.,Pharma,Positive,Optimism,1.42,200.93
2024-08-12,"Jindal Stainless eyes expansion, Metals stocks fall.",Jindal Stainless in the Metals sector has seen a fall of -1.3% due to infrastructure spending boost. Market sentiment is Mixed with Caution prevailing.,Metals,Mixed,Caution,-1.3,110.93
2024-07-26,"Godrej Properties faces challenges amid technology adoption, shares fall.",Godrej Properties in the Real Estate sector has seen a fall of -6.69% due to technology adoption. Market sentiment is Negative with Confidence prevailing.,Real Estate,Negative,Confidence,-6.69,710.33
2024-06-25,Market correction hits Banking stocks after monsoon impact on agriculture.,Punjab National Bank in the Banking sector has seen a rise of 4.51% due to geopolitical tensions. Market sentiment is Positive with Confidence prevailing.,Banking,Positive,Confidence,4.51,312.8
2024-03-05,Investors optimistic as Pharma sector fall on interest rate hike.,Cipla in the Pharma sector has seen a fall of -0.5% due to interest rate hike. Market sentiment is Neutral with Optimism prevailing.,Pharma,Neutral,Optimism,-0.5,578.64
2025-02-05,Surge in Energy stocks led by ONGC amid currency fluctuations.,ONGC in the Energy sector has seen a rise of 5.65% due to currency fluctuations. Market sentiment is Positive with Optimism prevailing.,Energy,Positive,Optimism,5.65,361.13
2025-07-25,Technology companies see fall after interest rate hike.,Persistent Systems in the Technology sector has seen a fall of -4.96% due to currency depreciation. Market sentiment is Negative with Uncertainty prevailing.,Technology,Negative,Uncertainty,-4.96,6.69
2025-06-19,Infrastructure stocks face pressure due to better-than-expected quarterly results.,GMR Infrastructure in the Infrastructure sector has seen a rise of 2.34% due to better-than-expected quarterly results. Market sentiment is Positive with Confidence prevailing.,Infrastructure,Positive,Confidence,2.34,591.32
2024-04-24,Jio stock fall after earnings guidance update.,Jio in the Telecom sector has seen a fall of -6.68% due to supply chain disruptions. Market sentiment is Negative with Optimism prevailing.,Telecom,Negative,Optimism,-6.68,464.47
2024-07-21,Concerns over rising raw material costs cause Infrastructure slump.,GMR Infrastructure in the Infrastructure sector has seen a rise of 0.11% due to rising raw material costs. Market sentiment is Neutral with Uncertainty prevailing.,Infrastructure,Neutral,Uncertainty,0.11,584.22
2024-09-03,Infrastructure stocks rise following monsoon impact on agriculture.,GIC Housing in the Infrastructure sector has seen a rise of 4.56% due to inflation concerns. Market sentiment is Positive with Caution prevailing.,Infrastructure,Positive,Caution,4.56,678.73
2025-04-18,Positive cues from Pharma sector as Torrent Pharma rise.,Torrent Pharma in the Pharma sector has seen a rise of 0.2% due to technology adoption. Market sentiment is Neutral with Caution prevailing.,Pharma,Neutral,Caution,0.2,208.21
2024-09-11,"Global trends influence Energy sector, stocks rise.",ONGC in the Energy sector has seen a rise of 2.99% due to global market trends. Market sentiment is Positive with Confidence prevailing.,Energy,Positive,Confidence,2.99,878.7
2024-12-11,"Tata Power faces challenges amid tax reforms, shares fall.",Tata Power in the Energy sector has seen a fall of -3.72% due to tax reforms. Market sentiment is Negative with Caution prevailing.,Energy,Negative,Caution,-3.72,49.64
2024-08-31,"Cadila Healthcare plans merger, causing Pharma rally.",Cadila Healthcare in the Pharma sector has seen a rise of 0.54% due to rising crude oil prices. Market sentiment is Neutral with Confidence prevailing.,Pharma,Neutral,Confidence,0.54,362.45
2024-12-12,"Vodafone Idea reports strong quarterly earnings, boosting Telecom sector.",Vodafone Idea in the Telecom sector has seen a fall of -3.69% due to consumer demand recovery. Market sentiment is Negative with Fear prevailing.,Telecom,Negative,Fear,-3.69,858.06
2024-07-26,Tech innovation fuels Automobile sector gains.,Eicher Motors in the Automobile sector has seen a fall of -2.01% due to sector-specific regulations. Market sentiment is Negative with Fear prevailing.,Automobile,Negative,Fear,-2.01,799.52
2024-02-02,Metals outlook positive on sector-specific regulations.,Coal India in the Metals sector has seen a rise of 1.37% due to sector-specific regulations. Market sentiment is Positive with Uncertainty prevailing.,Metals,Positive,Uncertainty,1.37,465.17
2025-02-14,"Vodafone Idea plans merger, causing Telecom rally.",Vodafone Idea in the Telecom sector has seen a rise of 1.4% due to rising crude oil prices. Market sentiment is Mixed with Optimism prevailing.,Telecom,Mixed,Optimism,1.4,131.41
2024-05-16,Energy outlook positive on technology adoption.,ONGC in the Energy sector has seen a rise of 0.18% due to technology adoption. Market sentiment is Neutral with Caution prevailing.,Energy,Neutral,Caution,0.18,300.55
2024-08-02,Energy companies see fall after new product launches.,Reliance in the Energy sector has seen a fall of -3.09% due to rising crude oil prices. Market sentiment is Negative with Confidence prevailing.,Energy,Negative,Confidence,-3.09,821.33
2024-12-16,Banking sector rallies on strong export data.,IndusInd Bank in the Banking sector has seen a rise of 3.42% due to currency fluctuations. Market sentiment is Positive with Optimism prevailing.,Banking,Positive,Optimism,3.42,158.33
2024-06-19,"Global trends influence Technology sector, stocks fall.",HCL Technologies in the Technology sector has seen a fall of -2.16% due to government policy reforms. Market sentiment is Negative with Confidence prevailing.,Technology,Negative,Confidence,-2.16,14.02
2025-08-11,Market sentiment shifts on strong export data affecting Technology.,Persistent Systems in the Technology sector has seen a rise of 0.26% due to inflation concerns. Market sentiment is Neutral with Optimism prevailing.,Technology,Neutral,Optimism,0.26,639.65
2024-10-15,Shares of Lupin in Pharma sector fall amid technology adoption.,Lupin in the Pharma sector has seen a fall of -3.63% due to technology adoption. Market sentiment is Negative with Caution prevailing.,Pharma,Negative,Caution,-3.63,887.2
2024-11-26,"Bharti Airtel faces challenges amid infrastructure spending boost, shares rise.",Bharti Airtel in the Telecom sector has seen a rise of 3.8% due to infrastructure spending boost. Market sentiment is Positive with Caution prevailing.,Telecom,Positive,Caution,3.8,783.72
2024-05-18,Pharma sector performance mixed following government policy reforms.,Cadila Healthcare in the Pharma sector has seen a rise of 6.5% due to technology adoption. Market sentiment is Positive with Caution prevailing.,Pharma,Positive,Caution,6.5,303.18
2024-02-19,Tech innovation fuels Technology sector gains.,Coforge in the Technology sector has seen a fall of -5.29% due to tax reforms. Market sentiment is Negative with Uncertainty prevailing.,Technology,Negative,Uncertainty,-5.29,538.04
2024-05-17,"Investors await geopolitical tensions, Banking stocks volatile.",SBI in the Banking sector has seen a fall of -2.14% due to inflation concerns. Market sentiment is Negative with Optimism prevailing.,Banking,Negative,Optimism,-2.14,588.64
2025-05-31,Positive cues from Automobile sector as Mahindra fall.,Mahindra in the Automobile sector has seen a fall of -1.91% due to rising crude oil prices. Market sentiment is Negative with Optimism prevailing.,Automobile,Negative,Optimism,-1.91,877.22
2025-01-31,Infrastructure sector rallies on technology adoption.,IRB Infrastructure in the Infrastructure sector has seen a fall of -6.47% due to tax reforms. Market sentiment is Negative with Optimism prevailing.,Infrastructure,Negative,Optimism,-6.47,382.55
2024-01-11,Strong demand boosts Pharma sector and Divi's Labs shares.,Divi's Labs in the Pharma sector has seen a fall of -5.07% due to inflation concerns. Market sentiment is Negative with Confidence prevailing.,Pharma,Negative,Confidence,-5.07,889.83
2024-03-20,Positive cues from Technology sector as Infosys rise.,Infosys in the Technology sector has seen a rise of 5.97% due to geopolitical tensions. Market sentiment is Positive with Fear prevailing.,Technology,Positive,Fear,5.97,478.79
2024-01-12,"Investors await consumer demand recovery, Technology stocks volatile.",HCL Technologies in the Technology sector has seen a rise of 0.36% due to new product launches. Market sentiment is Neutral with Optimism prevailing.,Technology,Neutral,Optimism,0.36,703.13
2024-09-13,"Wipro faces challenges amid government policy reforms, shares fall.",Wipro in the Technology sector has seen a fall of -1.12% due to government policy reforms. Market sentiment is Negative with Caution prevailing.,Technology,Negative,Caution,-1.12,452.64
2024-07-03,"Regulatory changes impact Infrastructure sector, stocks rise.",NCC in the Infrastructure sector has seen a rise of 1.71% due to rising crude oil prices. Market sentiment is Positive with Optimism prevailing.,Infrastructure,Positive,Optimism,1.71,608.89
2024-04-10,Axis Bank stock rise after new product launch.,Axis Bank in the Banking sector has seen a rise of 5.33% due to regulatory changes. Market sentiment is Positive with Uncertainty prevailing.,Banking,Positive,Uncertainty,5.33,427.72
2024-02-08,Real Estate companies see fall after strong export data.,Prestige Estates in the Real Estate sector has seen a fall of -5.38% due to infrastructure spending boost. Market sentiment is Negative with Uncertainty prevailing.,Real Estate,Negative,Uncertainty,-5.38,161.9
2024-09-08,Metals outlook positive on strong export data.,NMDC in the Metals sector has seen a fall of -4.71% due to strong export data. Market sentiment is Negative with Uncertainty prevailing.,Metals,Negative,Uncertainty,-4.71,328.95
2025-04-28,Market sentiment shifts on rising crude oil prices affecting Automobile.,Maruti Suzuki in the Automobile sector has seen a fall of -0.8% due to government policy reforms. Market sentiment is Neutral with Fear prevailing.,Automobile,Neutral,Fear,-0.8,315.1
2024-01-10,Automobile stocks fall following new product launches.,Bosch in the Automobile sector has seen a fall of -1.96% due to currency fluctuations. Market sentiment is Negative with Fear prevailing.,Automobile,Negative,Fear,-1.96,590.8
2024-10-21,Market reacts to supply chain disruptions in Automobile sector.,Mahindra in the Automobile sector has seen a fall of -3.72% due to technology adoption. Market sentiment is Negative with Confidence prevailing.,Automobile,Negative,Confidence,-3.72,821.91
2024-08-08,"Kotak Mahindra reports positive outlook, boosting Banking sector.",Kotak Mahindra in the Banking sector has seen a fall of -4.22% due to rising crude oil prices. Market sentiment is Negative with Caution prevailing.,Banking,Negative,Caution,-4.22,450.16
2024-03-02,Concerns over technology adoption cause Banking slump.,Punjab National Bank in the Banking sector has seen a rise of 1.62% due to technology adoption. Market sentiment is Positive with Uncertainty prevailing.,Banking,Positive,Uncertainty,1.62,395.69
2024-03-29,Earnings beat lifts Coal India and Energy sector.,Coal India in the Energy sector has seen a rise of 1.57% due to new product launches. Market sentiment is Positive with Caution prevailing.,Energy,Positive,Caution,1.57,606.01
2024-11-01,"Oberoi Realty reports strong quarterly earnings, boosting Real Estate sector.",Oberoi Realty in the Real Estate sector has seen a rise of 2.91% due to currency depreciation. Market sentiment is Positive with Optimism prevailing.,Real Estate,Positive,Optimism,2.91,753.27
2024-12-23,Strong Telecom earnings drive market fall.,Vodafone Idea in the Telecom sector has seen a fall of -5.79% due to regulatory changes. Market sentiment is Negative with Uncertainty prevailing.,Telecom,Negative,Uncertainty,-5.79,864.43
2025-05-20,"Tata Power eyes expansion, Energy stocks fall.",Tata Power in the Energy sector has seen a fall of -0.65% due to technology adoption. Market sentiment is Negative with Fear prevailing.,Energy,Negative,Fear,-0.65,738.6
2025-01-10,Market sentiment shifts on tax reforms affecting Automobile.,Mahindra in the Automobile sector has seen a rise of 0.56% due to tax reforms. Market sentiment is Positive with Confidence prevailing.,Automobile,Positive,Confidence,0.56,409.3
2025-08-18,Weakness in Banking drags market down amid technology adoption.,IndusInd Bank in the Banking sector has seen a rise of 0.51% due to technology adoption. Market sentiment is Positive with Uncertainty prevailing.,Banking,Positive,Uncertainty,0.51,155.63
2024-09-16,"Global trends influence Automobile sector, stocks fall.",Bosch in the Automobile sector has seen a fall of -2.82% due to supply chain disruptions. Market sentiment is Negative with Caution prevailing.,Automobile,Negative,Caution,-2.82,443.83
2025-01-19,Weakness in Infrastructure drags market down amid supply chain disruptions.,NCC in the Infrastructure sector has seen a fall of -1.12% due to supply chain disruptions. Market sentiment is Negative with Fear prevailing.,Infrastructure,Negative,Fear,-1.12,88.88
2025-02-27,Market reacts to rising raw material costs in Automobile sector.,Ashok Leyland in the Automobile sector has seen a fall of -4.85% due to technology adoption. Market sentiment is Negative with Caution prevailing.,Automobile,Negative,Caution,-4.85,567.42
2024-03-23,"Bosch reports mixed results, boosting Automobile sector.",Bosch in the Automobile sector has seen a rise of 1.42% due to monsoon impact on agriculture. Market sentiment is Positive with Caution prevailing.,Automobile,Positive,Caution,1.42,39.37
2024-06-29,"Bajaj Auto plans merger, causing Automobile rally.",Bajaj Auto in the Automobile sector has seen a rise of 3.62% due to rising raw material costs. Market sentiment is Positive with Fear prevailing.,Automobile,Positive,Fear,3.62,856.88
2024-12-25,Surge in Technology stocks led by HCL Technologies amid supply chain disruptions.,HCL Technologies in the Technology sector has seen a rise of 5.44% due to supply chain disruptions. Market sentiment is Positive with Optimism prevailing.,Technology,Positive,Optimism,5.44,455.55
2025-06-06,Indian Oil stock fall after management change.,Indian Oil in the Energy sector has seen a fall of -0.92% due to regulatory changes. Market sentiment is Mixed with Optimism prevailing.,Energy,Mixed,Optimism,-0.92,102.92
2024-08-07,"Cipla reports losses, boosting Pharma sector.",Cipla in the Pharma sector has seen a fall of -4.73% due to tax reforms. Market sentiment is Negative with Fear prevailing.,Pharma,Negative,Fear,-4.73,275.02
2025-05-09,"HUL reports record profits, boosting FMCG sector.",HUL in the FMCG sector has seen a rise of 5.03% due to merger and acquisition rumors. Market sentiment is Positive with Uncertainty prevailing.,FMCG,Positive,Uncertainty,5.03,475.15
2024-07-08,Real Estate sector rallies on regulatory changes.,Oberoi Realty in the Real Estate sector has seen a fall of -0.28% due to interest rate hike. Market sentiment is Neutral with Optimism prevailing.,Real Estate,Neutral,Optimism,-0.28,748.25
2024-10-27,Shares of Simplex Infrastructures in Infrastructure sector fall amid rising raw material costs.,Simplex Infrastructures in the Infrastructure sector has seen a fall of -5.62% due to rising raw material costs. Market sentiment is Negative with Confidence prevailing.,Infrastructure,Negative,Confidence,-5.62,968.16
2024-08-03,"Mphasis announces capital expenditure plan, impacting Technology stocks.",Mphasis in the Technology sector has seen a fall of -0.11% due to new product launches. Market sentiment is Neutral with Uncertainty prevailing.,Technology,Neutral,Uncertainty,-0.11,246.49
2024-03-06,Market reacts to strong export data in Metals sector.,Tata Steel in the Metals sector has seen a rise of 5.26% due to geopolitical tensions. Market sentiment is Positive with Fear prevailing.,Metals,Positive,Fear,5.26,718.99
2024-01-12,"GAIL announces dividend declaration, impacting Energy stocks.",GAIL in the Energy sector has seen a fall of -6.43% due to regulatory changes. Market sentiment is Negative with Optimism prevailing.,Energy,Negative,Optimism,-6.43,687.24
2024-10-22,Automobile sector performance mixed following new product launches.,Mahindra in the Automobile sector has seen a rise of 2.74% due to sector-specific regulations. Market sentiment is Positive with Optimism prevailing.,Automobile,Positive,Optimism,2.74,698.14
2025-01-28,Market correction hits Automobile stocks after sector-specific regulations.,Maruti Suzuki in the Automobile sector has seen a rise of 6.78% due to rising raw material costs. Market sentiment is Positive with Optimism prevailing.,Automobile,Positive,Optimism,6.78,208.31
2024-01-14,Surge in Technology stocks led by Wipro amid consumer demand recovery.,Wipro in the Technology sector has seen a fall of -0.11% due to consumer demand recovery. Market sentiment is Neutral with Caution prevailing.,Technology,Neutral,Caution,-0.11,660.86
2024-09-02,Investors optimistic as Real Estate sector fall on regulatory changes.,Godrej Properties in the Real Estate sector has seen a fall of -2.86% due to regulatory changes. Market sentiment is Negative with Confidence prevailing.,Real Estate,Negative,Confidence,-2.86,353.29
2025-06-23,Market reacts to currency fluctuations in Real Estate sector.,Godrej Properties in the Real Estate sector has seen a rise of 3.22% due to inflation concerns. Market sentiment is Positive with Caution prevailing.,Real Estate,Positive,Caution,3.22,182.52
2024-05-02,"Phoenix Mills eyes expansion, Real Estate stocks rise.",Phoenix Mills in the Real Estate sector has seen a rise of 1.21% due to monsoon impact on agriculture. Market sentiment is Positive with Fear prevailing.,Real Estate,Positive,Fear,1.21,240.65
2025-08-12,Market sentiment shifts on infrastructure spending boost affecting Automobile.,Maruti Suzuki in the Automobile sector has seen a rise of 4.04% due to monsoon impact on agriculture. Market sentiment is Positive with Confidence prevailing.,Automobile,Positive,Confidence,4.04,507.0
2024-09-27,Telecom sector performance mixed following global market trends.,Jio in the Telecom sector has seen a rise of 0.01% due to new product launches. Market sentiment is Neutral with Fear prevailing.,Telecom,Neutral,Fear,0.01,513.76
2025-08-14,"Bharti Airtel eyes expansion, Telecom stocks fall.",Bharti Airtel in the Telecom sector has seen a fall of -0.84% due to rising raw material costs. Market sentiment is Neutral with Caution prevailing.,Telecom,Neutral,Caution,-0.84,471.11
2024-12-02,Investors optimistic as Infrastructure sector rise on merger and acquisition rumors.,Larsen & Toubro in the Infrastructure sector has seen a rise of 3.08% due to merger and acquisition rumors. Market sentiment is Positive with Caution prevailing.,Infrastructure,Positive,Caution,3.08,875.19
2024-10-10,Banking stocks face pressure due to global market trends.,Kotak Mahindra in the Banking sector has seen a rise of 6.38% due to global market trends. Market sentiment is Positive with Confidence prevailing.,Banking,Positive,Confidence,6.38,346.98
2025-02-01,Market correction hits Automobile stocks after infrastructure spending boost.,Hero MotoCorp in the Automobile sector has seen a fall of -2.09% due to inflation concerns. Market sentiment is Negative with Caution prevailing.,Automobile,Negative,Caution,-2.09,347.36
2024-08-21,Weakness in Infrastructure drags market down amid monsoon impact on agriculture.,Simplex Infrastructures in the Infrastructure sector has seen a rise of 4.56% due to monsoon impact on agriculture. Market sentiment is Positive with Confidence prevailing.,Infrastructure,Positive,Confidence,4.56,231.14
2024-11-15,Mixed results from Infrastructure sector after strong export data.,Adani Ports in the Infrastructure sector has seen a rise of 6.84% due to inflation concerns. Market sentiment is Positive with Confidence prevailing.,Infrastructure,Positive,Confidence,6.84,397.91
2024-03-05,"Global trends influence Metals sector, stocks fall.",Jindal Stainless in the Metals sector has seen a fall of -2.14% due to geopolitical tensions. Market sentiment is Mixed with Fear prevailing.,Metals,Mixed,Fear,-2.14,96.86
2025-01-26,Infrastructure sector performance mixed following tax reforms.,IRB Infrastructure in the Infrastructure sector has seen a rise of 5.04% due to infrastructure spending boost. Market sentiment is Positive with Uncertainty prevailing.,Infrastructure,Positive,Uncertainty,5.04,703.98
2024-09-05,Strong demand boosts Technology sector and Coforge shares.,Coforge in the Technology sector has seen a fall of -2.03% due to rising crude oil prices. Market sentiment is Negative with Confidence prevailing.,Technology,Negative,Confidence,-2.03,316.04
2025-02-11,Market correction hits Metals stocks after rising crude oil prices.,Steel Authority in the Metals sector has seen a rise of 5.83% due to interest rate hike. Market sentiment is Positive with Confidence prevailing.,Metals,Positive,Confidence,5.83,510.1
2024-01-14,Shares of Ashok Leyland in Automobile sector fall amid consumer demand recovery.,Ashok Leyland in the Automobile sector has seen a fall of -5.62% due to consumer demand recovery. Market sentiment is Negative with Fear prevailing.,Automobile,Negative,Fear,-5.62,896.78
2025-02-27,Automobile sector rallies on rising raw material costs.,Mahindra in the Automobile sector has seen a rise of 3.19% due to currency fluctuations. Market sentiment is Positive with Uncertainty prevailing.,Automobile,Positive,Uncertainty,3.19,591.15
2024-12-29,Market correction hits Technology stocks after regulatory changes.,Tech Mahindra in the Technology sector has seen a rise of 2.73% due to merger and acquisition rumors. Market sentiment is Mixed with Uncertainty prevailing.,Technology,Mixed,Uncertainty,2.73,841.44
2024-12-13,Automobile sector rallies on new product launches.,TVS Motors in the Automobile sector has seen a rise of 6.07% due to merger and acquisition rumors. Market sentiment is Positive with Confidence prevailing.,Automobile,Positive,Confidence,6.07,375.68
2025-08-01,"Global trends influence Banking sector, stocks rise.",Punjab National Bank in the Banking sector has seen a rise of 0.57% due to technology adoption. Market sentiment is Positive with Optimism prevailing.,Banking,Positive,Optimism,0.57,179.99
2024-12-11,Weakness in Telecom drags market down amid currency depreciation.,Bharti Airtel in the Telecom sector has seen a rise of 1.03% due to currency depreciation. Market sentiment is Mixed with Uncertainty prevailing.,Telecom,Mixed,Uncertainty,1.03,975.51
2025-03-14,"Global trends influence Metals sector, stocks rise.",Jindal Steel in the Metals sector has seen a rise of 0.62% due to inflation concerns. Market sentiment is Neutral with Fear prevailing.,Metals,Neutral,Fear,0.62,15.68
2025-07-13,Automobile stocks fall following strong export data.,TVS Motors in the Automobile sector has seen a fall of -0.65% due to consumer demand recovery. Market sentiment is Negative with Caution prevailing.,Automobile,Negative,Caution,-0.65,132.32
2024-04-03,Real Estate stocks fall following government policy reforms.,DLF in the Real Estate sector has seen a fall of -2.3% due to tax reforms. Market sentiment is Negative with Confidence prevailing.,Real Estate,Negative,Confidence,-2.3,152.94
2025-07-19,Technology sector rallies on rising crude oil prices.,Coforge in the Technology sector has seen a fall of -5.24% due to sector-specific regulations. Market sentiment is Negative with Caution prevailing.,Technology,Negative,Caution,-5.24,636.04
2024-11-25,Earnings beat lifts Reliance and Energy sector.,Reliance in the Energy sector has seen a rise of 0.87% due to geopolitical tensions. Market sentiment is Mixed with Uncertainty prevailing.,Energy,Mixed,Uncertainty,0.87,292.65
2025-04-15,Metals stocks face pressure due to rising raw material costs.,Tata Steel in the Metals sector has seen a fall of -0.84% due to rising raw material costs. Market sentiment is Neutral with Caution prevailing.,Metals,Neutral,Caution,-0.84,127.18
2024-03-09,"Colgate eyes expansion, FMCG stocks rise.",Colgate in the FMCG sector has seen a rise of 0.51% due to consumer demand recovery. Market sentiment is Positive with Confidence prevailing.,FMCG,Positive,Confidence,0.51,745.81
2024-03-09,Metals sector performance mixed following government policy reforms.,Sail in the Metals sector has seen a rise of 6.51% due to currency fluctuations. Market sentiment is Positive with Confidence prevailing.,Metals,Positive,Confidence,6.51,537.61
2025-04-10,Market correction hits Energy stocks after regulatory changes.,Adani Power in the Energy sector has seen a rise of 4.43% due to rising raw material costs. Market sentiment is Positive with Caution prevailing.,Energy,Positive,Caution,4.43,664.79
2025-03-24,"Wipro plans merger, causing Technology rally.",Wipro in the Technology sector has seen a fall of -1.48% due to currency fluctuations. Market sentiment is Negative with Fear prevailing.,Technology,Negative,Fear,-1.48,208.97
2024-08-18,HCL Technologies leads Technology gains after government policy reforms.,HCL Technologies in the Technology sector has seen a rise of 0.66% due to currency fluctuations. Market sentiment is Neutral with Optimism prevailing.,Technology,Neutral,Optimism,0.66,810.62
2024-02-09,"Coal India reports negative outlook, boosting Metals sector.",Coal India in the Metals sector has seen a rise of 5.21% due to inflation concerns. Market sentiment is Positive with Caution prevailing.,Metals,Positive,Caution,5.21,445.88
2024-05-04,"Power Grid eyes expansion, Energy stocks fall.",Power Grid in the Energy sector has seen a fall of -1.55% due to global market trends. Market sentiment is Negative with Fear prevailing.,Energy,Negative,Fear,-1.55,525.36
2024-08-24,"Coal India reports positive outlook, boosting Energy sector.",Coal India in the Energy sector has seen a fall of -2.97% due to currency fluctuations. Market sentiment is Negative with Optimism prevailing.,Energy,Negative,Optimism,-2.97,873.11
2025-03-12,Tech innovation fuels Technology sector gains.,Infosys in the Technology sector has seen a fall of -5.03% due to regulatory changes. Market sentiment is Negative with Confidence prevailing.,Technology,Negative,Confidence,-5.03,417.71
2024-05-09,Energy companies see rise after merger and acquisition rumors.,Tata Power in the Energy sector has seen a rise of 2.69% due to regulatory changes. Market sentiment is Mixed with Confidence prevailing.,Energy,Mixed,Confidence,2.69,950.13
2024-06-16,Tech innovation fuels Automobile sector gains.,Eicher Motors in the Automobile sector has seen a rise of 0.61% due to merger and acquisition rumors. Market sentiment is Neutral with Uncertainty prevailing.,Automobile,Neutral,Uncertainty,0.61,394.34
2024-06-05,Market correction hits Infrastructure stocks after rising raw material costs.,NCC in the Infrastructure sector has seen a rise of 1.6% due to consumer demand recovery. Market sentiment is Positive with Caution prevailing.,Infrastructure,Positive,Caution,1.6,815.13
2024-02-25,Market sentiment shifts on currency depreciation affecting Automobile.,Hero MotoCorp in the Automobile sector has seen a rise of 0.71% due to infrastructure spending boost. Market sentiment is Positive with Uncertainty prevailing.,Automobile,Positive,Uncertainty,0.71,182.19
2024-07-02,"Infosys plans merger, causing Technology rally.",Infosys in the Technology sector has seen a fall of -6.57% due to new product launches. Market sentiment is Negative with Caution prevailing.,Technology,Negative,Caution,-6.57,442.02
2024-03-25,Shares of Ashoka Buildcon in Infrastructure sector rise amid technology adoption.,Ashoka Buildcon in the Infrastructure sector has seen a rise of 2.29% due to technology adoption. Market sentiment is Mixed with Optimism prevailing.,Infrastructure,Mixed,Optimism,2.29,378.71
2024-02-14,Britannia leads FMCG gains after sector-specific regulations.,Britannia in the FMCG sector has seen a rise of 6.75% due to rising crude oil prices. Market sentiment is Positive with Optimism prevailing.,FMCG,Positive,Optimism,6.75,645.72
2024-01-05,Telecom stocks face pressure due to rising crude oil prices.,Jio in the Telecom sector has seen a fall of -2.2% due to rising crude oil prices. Market sentiment is Negative with Caution prevailing.,Telecom,Negative,Caution,-2.2,73.53
2024-01-25,"Regulatory changes impact Automobile sector, stocks fall.",Mahindra in the Automobile sector has seen a fall of -4.34% due to sector-specific regulations. Market sentiment is Negative with Uncertainty prevailing.,Automobile,Negative,Uncertainty,-4.34,45.92
2025-07-05,Market correction hits Metals stocks after merger and acquisition rumors.,Hindalco in the Metals sector has seen a rise of 3.26% due to sector-specific regulations. Market sentiment is Positive with Optimism prevailing.,Metals,Positive,Optimism,3.26,859.69
2025-07-05,"Investors await interest rate hike, FMCG stocks volatile.",Colgate in the FMCG sector has seen a fall of -2.82% due to currency fluctuations. Market sentiment is Negative with Fear prevailing.,FMCG,Negative,Fear,-2.82,165.15
2024-01-25,Shares of Jio in Telecom sector rise amid rising raw material costs.,Jio in the Telecom sector has seen a rise of 6.47% due to rising raw material costs. Market sentiment is Positive with Caution prevailing.,Telecom,Positive,Caution,6.47,852.29
